crop_id,harvested_organ,yield_unit,nutrient_id,extraction_kg_per_unit,absorption_kg_per_unit,source,region,year,dataset_version
beet,root,t_ha,Mg,0.6,1.2,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
beet,root,t_ha,S,0.2,0.7,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
carrot,root,t_ha,N,2,4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
carrot,root,t_ha,P,0.4,0.8,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
carrot,root,t_ha,K,4,6,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
carrot,root,t_ha,Ca,3,5,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
carrot,root,t_ha,Mg,0.2,0.4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
carrot,root,t_ha,S,0.1,0.35,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
potato,tuber,t_ha,N,3.6,5.5,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
potato,tuber,t_ha,P,0.7,0.9,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
potato,tuber,t_ha,K,5.4,8.2,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
potato,tuber,t_ha,Ca,0.1,1.4,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
potato,tuber,t_ha,Mg,0.4,0.8,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
potato,tuber,t_ha,S,0.2,0.7,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
corn,grain,t_ha,N,15,24,Gomez_2006a+IFA_1992_tabla10,andina_colombia,2006,v2
corn,grain,t_ha,P,3,4,Gomez_2006a+IFA_1992_tabla10,andina_colombia,2006,v2
corn,grain,t_ha,K,4,22,Gomez_2006a+IFA_1992_tabla10,andina_colombia,2006,v2
corn,grain,t_ha,Ca,0.2,4,Gomez_2006a+IFA_1992_tabla10,andina_colombia,2006,v2
corn,grain,t_ha,Mg,2,5,Gomez_2006a+IFA_1992_tabla10,andina_colombia,2006,v2
corn,grain,t_ha,S,1,4,Gomez_2006a+IFA_1992_tabla10,andina_colombia,2006,v2
wheat,grain,t_ha,N,21,30,Gomez_2006a+Garcia_et_al_2006_tabla10,andina_colombia,2006,v2
wheat,grain,t_ha,P,4,5,Gomez_2006a+Garcia_et_al_2006_tabla10,andina_colombia,2006,v2
wheat,grain,t_ha,K,4,19,Gomez_2006a+Garcia_et_al_2006_tabla10,andina_colombia,2006,v2
wheat,grain,t_ha,Ca,0.4,3,Gomez_2006a+Garcia_et_al_2006_tabla10,andina_colombia,2006,v2
wheat,grain,t_ha,Mg,3,4,Gomez_2006a+Garcia_et_al_2006_tabla10,andina_colombia,2006,v2
wheat,grain,t_ha,S,2,5,Gomez_2006a+Garcia_et_al_2006_tabla10,andina_colombia,2006,v2
rice,grain,t_ha,N,15,22,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
